"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","epochs","head_lr","learning_rate","max_length","patience","scheduler","trial_number","warmup_ratio","weight_decay","Current LR","Epoch","Train Accuracy","Train Loss","Validation Accuracy","Validation F1 Macro","Validation F1 Weighted","Validation Loss","Validation Precision","Validation Recall"
"roberta-base-trial-9","finished","-","","","2025-08-12T14:34:43.000Z","1062","","16","5","0.0000913899650367286","0.000030463321678909532","192","1","linear","9","0.06","0.01","0.000006481489092502007","4","0.8072897196261682","0.52184418646346","0.7114378270620484","0.7204647404217137","0.7097303720799412","0.803926957209093","0.7156133039122275","0.7114378270620484"
"roberta-base-trial-8","finished","-","","","2025-08-12T14:18:48.000Z","953","","16","5","0.000038330487133496193","0.00001277682904449873","128","1","linear","8","0.06","0.02","0","5","0.7966355140186916","0.5399760107255056","0.706454024420633","0.7162375008537498","0.7041135294827082","0.8058534659502841","0.7081919191278431","0.706454024420633"
"roberta-base-trial-7","finished","-","","","2025-08-12T14:06:31.000Z","736","","32","5","0.00007497424030514642","0.00002499141343504881","192","1","linear","7","0.06","0.01","0.0000106341932989146","3","0.7490031152647975","0.6461313074065889","0.7088213306753053","0.718325268497703","0.7065217997343775","0.7639777846402311","0.7115526750165165","0.7088213306753053"
"roberta-base-trial-6","finished","-","","","2025-08-12T14:00:10.000Z","380","","16","3","0.00005214807078203478","0.00001738269026067826","128","1","linear","6","0.06","0","0.000006163791405155701","2","0.697196261682243","0.7574424981773829","0.6816596062795913","0.6910481234457636","0.6773538149370917","0.7738761982803716","0.6887960811255345","0.6816596062795913"
"roberta-base-trial-5","finished","-","","","2025-08-12T13:42:33.000Z","1055","","16","5","0.00010614591228972738","0.00003538197076324246","192","1","linear","5","0.06","0","0.00000752799908001989","4","0.810404984423676","0.5189003286703353","0.7143035135808622","0.7231110552529659","0.7114441806471532","0.7948890314445571","0.7177978177280502","0.7143035135808622"
"roberta-base-trial-4","finished","-","","","2025-08-12T13:28:09.000Z","863","","32","5","0.00009112839302173609","0.000030376131007245364","128","1","linear","4","0.06","0","0","5","0.8294392523364486","0.45693758570145226","0.7126837777224022","0.721288396608826","0.710190723982673","0.8115361020240052","0.7140201600489757","0.7126837777224022"
"roberta-base-trial-3","finished","-","","","2025-08-12T13:15:54.000Z","734","","32","5","0.00007427195632857743","0.000024757318776192475","192","1","linear","3","0.06","0","0.000010534582772323476","3","0.7468535825545172","0.6471438975089064","0.6777971592324944","0.6880935959315942","0.6717093121059463","0.7822267865558351","0.6870335126551671","0.6777971592324944"
"roberta-base-trial-2","finished","-","","","2025-08-12T13:02:37.000Z","796","","16","3","0.000056952119602730795","0.00001898403986757693","192","2","linear","2","0.06","0.02","0","3","0.7561059190031153","0.635483922828395","0.7013456267131821","0.710932975774934","0.6981289371667986","0.7777550016559331","0.7051076626238665","0.7013456267131821"
"roberta-base-trial-1","finished","-","","","2025-08-12T12:49:19.000Z","797","","16","3","0.000025389325254788103","0.000008463108418262702","192","2","linear","1","0.06","0.02","0","3","0.7104361370716511","0.726639974377237","0.6670819835534513","0.6765244047089721","0.6620715453142602","0.8135791157594857","0.6726865382219543","0.6670819835534513"
"roberta-base-trial-0","finished","-","","","2025-08-12T12:39:47.000Z","570","","16","3","0.00004420575299870238","0.00001473525099956746","128","1","linear","0","0.06","0","0","3","0.7461682242990654","0.6560167997908369","0.6943683030152006","0.704068836046375","0.6913125238877069","0.7741374278228954","0.6969559533973233","0.6943683030152006"