"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dropout","epochs","head_lr","learning_rate","max_length","patience","scheduler","warmup_ratio","weight_decay","Current LR","Epoch","Train Accuracy","Train Loss","Validation Accuracy","Validation F1 Macro","Validation F1 Weighted","Validation Loss","Validation Precision","Validation Recall"
"trial-0","finished","-","","","2025-08-17T10:04:31.000Z","1607","","16","0.18220476189798832","6","0.00020910030612141415","0.00005227507653035354","192","2","linear","0.06","0.01","0","6","0.8422429906542056","0.4434198624638382","0.7150510839770745","0.7236265528358764","0.7135242109920795","0.8753393588445146","0.7197252448741783","0.7150510839770745"
"trial-3","finished","-","","","2025-08-17T11:35:23.000Z","1051","","32","0.1825924588745554","8","0.0002487698982167793","0.00006219247455419483","128","2","linear","0","0.05","0.000015548118638548707","6","0.8430218068535825","0.43069005018082734","0.7136805382506852","0.7220685287745441","0.712756422448912","0.8784511836128225","0.7167432790379533","0.7136805382506852"
"trial-2","finished","-","","","2025-08-17T11:00:12.000Z","2107","","16","0.17021169070528536","7","0.00022184686110000024","0.00005546171527500006","256","2","linear","0.06","0.05","0.000008428232191786563","6","0.855202492211838","0.4156657809780394","0.7083229504111637","0.7170096435050081","0.7068177949130836","0.936052237889608","0.7128953271714775","0.7083229504111637"
"trial-1","finished","-","","","2025-08-17T10:31:22.000Z","1725","","32","0.2308831165702992","7","0.0001657194777645691","0.00004142986944114228","192","2","linear","0","0.02","0","7","0.7966978193146418","0.5286204662612666","0.6870171941191129","0.6964547624562576","0.6828658282997466","0.8704704497777225","0.6982329618320557","0.6870171941191129"
"trial-4","finished","-","","","2025-08-17T11:52:59.000Z","1218","","32","0.18779306136037688","7","0.00003239891910162894","0.000008099729775407235","128","2","linear","0","0","0","7","0.7146728971962617","0.7078909601377921","0.6541240966857712","0.6627185381983995","0.6472797760838932","0.8527709604081981","0.6666822922898026","0.6541240966857712"
"trial-8","finished","-","","","2025-08-17T12:24:00.000Z","194","","16","0.17091934108921253","8","0.00015795299638400007","0.00003948824909600002","128","3","linear","0.15","0.01","0.00003291234050484719","1","0.4873520249221184","1.1349711699574907","0.6223523548467481","0.6325890458805372","0.6150402716531062","0.9028289850783592","0.6320188958032555","0.6223523548467481"
"trial-9","finished","-","","","2025-08-17T12:27:19.000Z","654","","32","0.2184340897829896","6","0.00019911392940057864","0.00004977848235014466","256","2","linear","0.1","0.05","0.00003687022964186296","2","0.662803738317757","0.8323020769743904","0.6176177423374034","0.625652759106926","0.6069393773817914","0.9335347679140796","0.6505993996089912","0.6176177423374034"
"trial-5","finished","-","","","2025-08-17T12:13:21.000Z","270","","16","0.17457253898327457","7","0.00006697635829582335","0.000016744089573955838","192","2","linear","0.15","0.02","0.000015949400937318162","1","0.45978193146417445","1.1966557941332785","0.5864689758285572","0.5907064135473872","0.5610425344594144","0.9417915967391252","0.6035539393335576","0.5864689758285572"
"trial-7","finished","-","","","2025-08-17T12:20:58.000Z","177","","32","0.22841682661346055","7","0.00011351039084428436","0.000028377597711071087","128","3","linear","0.06","0.02","0.00002587356570478163","1","0.48626168224299066","1.144762318958746","0.5556939945178171","0.5634469782998281","0.5372836778183349","0.9939756469924996","0.5889246145651623","0.5556939945178171"
"trial-6","finished","-","","","2025-08-17T12:17:56.000Z","177","","32","0.22392184734167547","8","0.00007117016237955457","0.000017792540594888643","128","3","linear","0.06","0.01","0.000016560187432244388","1","0.4561682242990654","1.1889635530439122","0.5150760029902816","0.5141866970099147","0.4836408841940545","1.077771933973504","0.5548115807011672","0.5150760029902816"