"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","epochs","learning_rate","max_length","patience","trial_number","weight_decay","Epoch","Learning Rate","Train Accuracy","Train Loss","Validation Accuracy","Validation F1","Validation Loss","Validation Precision","Validation Recall"
"google/electra-base-discriminator-trial-9","finished","-","","","2025-08-21T13:01:36.000Z","1542","","16","2","0.00003950424062380827","128","2","9","0.01","2","0","0.7461370716510903","0.7137913924288527","0.7091951158734114","0.707767558807334","0.8072342762633984","0.7126841454022493","0.7091951158734114"
"google/electra-base-discriminator-trial-8","finished","-","","","2025-08-21T12:15:04.000Z","2789","","32","4","0.000014780498843083991","128","4","8","0","4","0","0.7763862928348909","0.642101636868771","0.707450784948916","0.706551984904856","0.823045405052619","0.7098212500303762","0.707450784948916"
"google/electra-base-discriminator-trial-7","finished","-","","","2025-08-21T11:24:03.000Z","3059","","16","4","0.000025866054477447014","128","3","7","0.02","4","0","0.819158878504673","0.5444956151458704","0.7171692000996761","0.7164351206235244","0.8206596437933557","0.7194402471789846","0.7171692000996761"
"google/electra-base-discriminator-trial-6","finished","-","","","2025-08-21T10:58:30.000Z","1531","","16","2","0.000016893898681667575","128","3","6","0.02","2","0","0.7272897196261682","0.7476710666748594","0.6954896586095191","0.69359181805229","0.8303411808834984","0.6984770615496031","0.6954896586095191"
"google/electra-base-discriminator-trial-5","finished","-","","","2025-08-21T10:38:54.000Z","1173","","16","2","0.000029136185237472815","96","4","5","0","2","0","0.72601246105919","0.7554461345568624","0.6922501868925991","0.6912274247104326","0.8337565713501499","0.6937810629687501","0.6922501868925991"
"google/electra-base-discriminator-trial-4","finished","-","","","2025-08-21T10:19:55.000Z","1136","","32","2","0.00001602463687396439","96","3","4","0","2","0","0.7038940809968848","0.7975494961575185","0.6751806628457513","0.6730397749940473","0.8621314812146188","0.6787925748993626","0.6751806628457513"
"google/electra-base-discriminator-trial-3","finished","-","","","2025-08-21T09:50:37.000Z","1756","","16","3","0.000016844721709391126","96","4","3","0","3","0","0.7740809968847352","0.6493053949064926","0.7146772987789684","0.713860890063862","0.8027594795614414","0.7168699959581282","0.7146772987789684"
"google/electra-base-discriminator-trial-2","finished","-","","","2025-08-21T09:30:42.000Z","1193","","16","2","0.000027158320180744175","96","4","2","0.01","2","0","0.7416822429906542","0.7132859984439481","0.717792175429853","0.7171080379987091","0.7779464959028859","0.7192660018775864","0.717792175429853"
"google/electra-base-discriminator-trial-1","finished","-","","","2025-08-21T08:52:57.000Z","2263","","32","4","0.000026321786284403975","96","3","1","0.01","4","0","0.8114018691588785","0.5600926980868307","0.7222775978071269","0.7218460385761245","0.8033675675658909","0.7245513632686886","0.7222775978071269"
"google/electra-base-discriminator-trial-0","finished","-","","","2025-08-21T08:06:20.000Z","2795","","32","4","0.000015261212854000693","128","4","0","0.01","4","0","0.7761059190031153","0.6444858856438848","0.7103164714677299","0.7098114976788966","0.8103446260655339","0.7120394053463179","0.7103164714677299"